,Unnamed: 0,날짜,기사제목
0,0, 2022.01.04 17:37,[코스닥 공시] 브리지텍 / 비아트론 / 기가레인
1,1, 2022.01.04 14:03,"기가레인, 한화시스템과 84억원 규모 공급계약 체결"
2,2, 2022.01.04 14:02,"기가레인, 한화시스템과 84억 규모 공급계약 체결"
3,3, 2021.12.28 14:40,"기가레인, 56억원 규모 TICN 양산 계약 체결"
4,4, 2021.12.28 14:29,"기가레인, 휴니드와 57억 규모 TICN HCTRS 양산 계약"
5,5, 2021.12.28 14:29,"기가레인, 57억 규모 대용량 무선전송체계 양산 계약 체결"
6,6, 2021.07.13 16:26,"기가레인, 81억 규모 전환청구권 행사"
7,7, 2021.07.04 18:13,내년까지 좋아질 '실적株'…현대위아·기가레인 등 주목
8,8, 2021.06.29 10:43,"[특징주] 어닝서프라이즈 기대감…기가레인, 급등세"
9,9, 2021.05.28 08:14,"기가레인, 장비 호황에 올해 흑자전환…목표가↑-신한"
10,10, 2021.05.17 16:48,"기가레인, 53억원 규모 식각 장비 공급 계약 체결"
11,11, 2021.02.25 08:40,"증선위, 회계처리기준 위반 알서포트·기가레인에 과징금"
12,12, 2021.02.25 08:26,회계처리기준 위반 알서포트·기가레인 과징금
13,13, 2021.02.25 08:17,"증선위, 회계위반 알서포트·기가레인에 감사인지정 2년·과징금"
14,14, 2021.02.17 17:30,"기가레인 ""동진쎄미켐이 42억원 규모 손해배상 청구"""
